mp_id,formula,nsites,density_g_per_cm3,volume_per_atom_A3,spacegroup_number,crystal_system,nelements
mp-1078908,Ca2CdP2,10,3.5445,23.8469,36,Orthorhombic,3
mp-4841,LaCuS2,16,5.3533,20.6729,14,Monoclinic,3
mp-764233,Na8CoO6,30,2.6523,14.1432,185,Hexagonal,3
mp-7534,K2Cd2O3,14,4.5359,18.3576,14,Monoclinic,3
mp-1194498,BaFe3(PO4)3,38,3.9956,12.9003,74,Orthorhombic,4
mp-29260,Ti(SeO3)2,18,3.9657,14.0406,14,Monoclinic,3
mp-23311,EuBr2,30,5.452,31.6527,85,Tetragonal,2
mp-1193173,Cs2ZnBr4,28,3.9947,38.6492,62,Orthorhombic,3
mp-16921,KNa4GeAs3,36,2.9131,27.137,62,Orthorhombic,4
mp-640883,VBi(PbO3)2,80,7.4372,17.1993,14,Monoclinic,4
mp-1203437,GdH(SeO4)2,96,4.7287,12.9981,61,Orthorhombic,4
mp-559364,SrBi2(B2O5)2,34,5.4105,12.7967,2,Triclinic,4
mp-1203386,K2H3IrNCl5,48,3.1285,20.555,62,Orthorhombic,5
mp-558502,FeTeO3F,24,5.0187,13.8106,14,Monoclinic,4
mp-554750,Rb6U(Mo2O9)2,58,3.9905,20.413,15,Monoclinic,4
mp-1106270,BaPd(IO3)4,18,4.87,17.87,1,Triclinic,4
mp-569454,CdHgAsBr,16,5.7234,33.9329,51,Orthorhombic,4
mp-676305,Mg4Sb2O9,30,4.9487,10.8436,2,Triclinic,3
mp-690794,Sr2HN,4,3.9803,19.8433,166,Trigonal,3
mp-556418,AlSCl3O2,14,1.8044,25.9523,2,Triclinic,4
mp-510638,MnGaH4O2F5,26,3.0388,10.7473,74,Orthorhombic,5
mp-578752,Sr11InSb9,42,4.9321,34.8621,45,Orthorhombic,3
mp-19179,Ba2V(SiO4)2,26,4.4421,14.6582,100,Tetragonal,4
mp-9573,NaBeAs,6,3.1802,18.6103,194,Hexagonal,3
mp-4555,Ca(AsO3)2,9,4.5721,11.5381,162,Trigonal,3
mp-978840,SrLi2(SiN2)2,108,3.4718,11.3568,205,Cubic,4
mp-1208685,SrU(MoO4)4,44,4.6426,15.6953,13,Monoclinic,4
mp-3744,NaNbO2,8,5.5645,11.0337,194,Hexagonal,3
mp-1228132,Ba6Nd2Y(MoO6)3,30,6.1748,15.9306,12,Monoclinic,5
mp-29312,InI2,24,4.5665,44.6822,52,Orthorhombic,2
mp-554847,SbP(Cl3O)2,40,2.2804,28.9416,14,Monoclinic,4
mp-29626,Na4Sn3S8,30,3.1993,24.3811,15,Monoclinic,3
mp-759925,Zn2Hg2H2Se2O11,76,5.7395,13.2162,57,Orthorhombic,5
mp-33498,Rb2CrCl4,14,2.9639,29.1924,64,Orthorhombic,3
mp-7290,Er3GaS6,20,5.7195,22.1782,36,Orthorhombic,3
mp-15218,Cs2TaAgS4,16,4.0929,34.6317,70,Orthorhombic,4
mp-1209171,RbTlS2,32,4.6626,31.5168,15,Monoclinic,3
mp-16280,Ca2Sb2O7,22,5.1649,12.7336,74,Orthorhombic,3
mp-3288,CsNO2,12,3.7205,19.9631,152,Trigonal,3
mp-1226881,CsNb4Ag(PS10)2,56,2.8579,27.301,4,Monoclinic,5
mp-568392,Ag10Te4Br3,68,7.1947,24.8285,63,Orthorhombic,3
mp-19114,Ca2NiWO6,20,5.7978,11.9915,14,Monoclinic,4
mp-1201210,InH6(ClO)3,104,2.3401,15.0229,14,Monoclinic,4
mp-561911,Ca3Co(SeO3)4,40,3.3678,16.9368,88,Tetragonal,4
mp-999319,NdTlTe2,4,6.8062,36.8297,166,Trigonal,3
mp-2713764,Ca4Nb2(SO4)9,102,2.3365,16.871,158,Trigonal,4
mp-541430,BaLaCuSe3,24,5.6308,28.343,62,Orthorhombic,4
mp-1227905,Ca3(BN2)2,54,2.5144,14.5207,64,Orthorhombic,3
mp-1181839,Cs4Sr(SnSe3)3,17,4.3243,38.0841,146,Trigonal,4
mp-8449,Rb2Li2SiO4,18,3.4348,14.8741,2,Triclinic,4
mp-768663,Na3SiBiCO7,26,3.9981,13.7392,11,Monoclinic,5
mp-9437,NbFeSb,3,8.5672,17.4772,216,Cubic,3
mp-734042,MgH12(NO6)2,54,1.7302,9.1144,14,Monoclinic,4
mp-16185,Mn6AgP7O24,76,3.6813,12.325,11,Monoclinic,4
mp-27338,SrFeF5,56,4.2465,13.3207,14,Monoclinic,3
mp-768110,Li2Ti3CoO8,56,3.7989,10.7534,198,Cubic,4
mp-1102833,SbOsS,12,10.0421,18.964,14,Monoclinic,3
mp-571412,RbNa5(WN3)2,112,4.5742,16.91,14,Monoclinic,4
