mp_id,formula,bandgap_eV,nsites,density_g_per_cm3,volume_per_atom_A3,spacegroup_number,crystal_system,nelements
mp-1193131,Cs2PbN2(ClO3)2,2.8095,26,4.0201,21.2226,141,Tetragonal,5
mp-642650,LiP(HO)2,5.3164,12,1.4633,13.6046,12,Monoclinic,4
mp-624190,GePbS3,1.7579,20,4.8257,25.879,14,Monoclinic,3
mp-567398,Sr3MgGeN4,1.7247,36,4.6653,16.4455,52,Orthorhombic,4
mp-1207095,SiPAu,0.9835,3,6.9861,20.285,160,Trigonal,3
mp-11919,Sr(BeN)2,1.5484,10,3.7289,11.9039,140,Tetragonal,3
mp-5970,Ba(CuS)2,0.9028,20,5.6242,19.4007,62,Orthorhombic,3
mp-1194629,CsSc(SeO3)2,4.1332,40,3.8945,18.4103,62,Orthorhombic,4
mp-1195247,HgAsF7,2.4936,36,5.0803,14.8358,14,Monoclinic,3
mp-18545,CsV3(SeO6)2,2.3398,36,3.8344,15.2931,173,Hexagonal,4
mp-13738,CsCd(PO3)3,4.57,56,3.3473,17.0874,62,Orthorhombic,4
mp-1210818,LuF3,7.6899,24,9.1286,10.5487,165,Trigonal,2
mp-29693,Rb2AgCl3,2.9649,24,3.4573,30.832,62,Orthorhombic,3
mp-1192357,Sr3LiAs2H,1.4556,28,4.0658,24.5428,62,Orthorhombic,4
mp-1205014,Pu2IO10,0.0547,52,5.9172,16.7276,14,Monoclinic,3
mp-547125,TbBi2ClO4,1.3439,8,8.0956,17.341,123,Tetragonal,4
mp-8015,CsRuF6,1.2352,8,3.9839,18.1296,166,Trigonal,3
mp-1195757,Li2Sn(H5O4)2,4.465,42,2.7843,7.6868,14,Monoclinic,4
mp-1220616,Nd2Si2PbSe8,1.819,26,5.4176,27.9047,9,Monoclinic,4
mp-1202958,Co2AsHO5,1.9439,36,4.0508,12.4706,58,Orthorhombic,4
mp-18150,K3Lu(PO4)2,4.9407,42,3.994,14.3202,147,Trigonal,4
mp-1104135,CaH2F4,7.6467,14,2.6608,10.5278,70,Orthorhombic,3
mp-510462,CsDyZnTe3,1.3714,12,5.5863,36.8402,63,Orthorhombic,4
mp-1192085,Cs2Cu2Sb2Se5,0.8173,22,4.8715,31.9556,2,Triclinic,4
mp-1188829,KTeP2,1.2093,16,3.2392,29.303,11,Monoclinic,3
mp-560311,Na3FeF6,3.1439,20,3.2616,12.158,14,Monoclinic,3
mp-841,Li2O2,1.9743,8,2.4145,7.8885,194,Hexagonal,2
mp-22265,Fe(SbO2)2,0.5327,28,5.5851,15.4333,135,Tetragonal,3
